profile_index,experiment_id,plurality_winner,plurality_vse,plurality_winner_rank,plurality_regret,plurality_condorcet_winner_exists,plurality_is_condorcet_winner,plurality_has_cycle,plurality_cycle_type,borda_winner,borda_vse,borda_winner_rank,borda_regret,borda_condorcet_winner_exists,borda_is_condorcet_winner,borda_has_cycle,borda_cycle_type,irv_winner,irv_vse,irv_winner_rank,irv_regret,irv_condorcet_winner_exists,irv_is_condorcet_winner,irv_has_cycle,irv_cycle_type,config_experiment_id,config_created_at,config_n_profiles,config_n_voters,config_n_candidates,config_voting_rules,config_geometry_method,config_geometry_n_dim,config_geometry_phi,config_manipulation_enabled,config_manipulation_fraction,config_manipulation_strategy,config_utility_function,config_utility_distance_metric,config_utility_sigma_factor,config_rng_seed,config_epsilon,agg_n_profiles,agg_vse_mean,agg_vse_std,agg_vse_min,agg_vse_max,agg_vse_median,agg_utility_mean,agg_utility_std,agg_regret_mean,agg_regret_max,agg_winner_rank_1st_pct,agg_winner_rank_2nd_pct,agg_winner_rank_3rd_pct,agg_condorcet_winner_pct,agg_condorcet_efficiency,agg_cycle_percentage,agg_type1_percentage,agg_type2_percentage,compute_time_seconds,saved_at
29,beb22357,2,0.0,2,0.07321130895434991,True,False,False,0,1,1.0,0,0.0,True,True,False,0,0,0.18830164072586256,1,0.05942549935855779,True,False,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
30,beb22357,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
31,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
32,beb22357,1,0.9735531824460744,1,0.003224408413306068,False,True,True,0,1,0.9735531824460744,1,0.003224408413306068,False,True,True,0,2,1.0,0,0.0,False,True,True,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
33,beb22357,0,0.6415189942119445,1,0.03357381749996069,True,False,False,0,1,1.0,0,0.0,True,True,False,0,0,0.6415189942119445,1,0.03357381749996069,True,False,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
34,beb22357,1,1.0,0,0.0,True,True,False,0,2,0.8749086129308349,1,0.03129022216177324,True,False,False,0,1,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
35,beb22357,0,0.11465848134168008,1,0.03354862018132598,False,True,True,0,1,1.0,0,0.0,False,True,True,0,2,0.0,2,0.03789342245257721,False,True,True,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
36,beb22357,0,1.0,0,0.0,False,True,True,0,2,0.7631886452778368,1,0.0399890647685206,False,True,True,0,2,0.7631886452778368,1,0.0399890647685206,False,True,True,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
37,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
38,beb22357,2,0.8457544904422898,1,0.02734044734888763,True,False,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
39,beb22357,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
40,beb22357,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
41,beb22357,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
42,beb22357,0,1.0,0,0.0,False,True,True,0,0,1.0,0,0.0,False,True,True,0,1,0.762370079680326,1,0.02195272101474277,False,True,True,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
43,beb22357,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
44,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
45,beb22357,2,0.3875093221959769,1,0.08234528004981323,True,False,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
46,beb22357,1,0.3877359004371272,1,0.09081748484902719,False,True,True,0,2,1.0,0,0.0,False,True,True,0,2,1.0,0,0.0,False,True,True,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
47,beb22357,2,0.9424383337448542,1,0.010956589875170786,False,True,True,0,0,1.0,0,0.0,False,True,True,0,2,0.9424383337448542,1,0.010956589875170786,False,True,True,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
48,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
49,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
