profile_index,experiment_id,plurality_winner,plurality_vse,plurality_winner_rank,plurality_regret,plurality_condorcet_winner_exists,plurality_is_condorcet_winner,plurality_has_cycle,plurality_cycle_type,borda_winner,borda_vse,borda_winner_rank,borda_regret,borda_condorcet_winner_exists,borda_is_condorcet_winner,borda_has_cycle,borda_cycle_type,irv_winner,irv_vse,irv_winner_rank,irv_regret,irv_condorcet_winner_exists,irv_is_condorcet_winner,irv_has_cycle,irv_cycle_type,approval_winner,approval_vse,approval_winner_rank,approval_regret,approval_condorcet_winner_exists,approval_is_condorcet_winner,approval_has_cycle,approval_cycle_type,star_winner,star_vse,star_winner_rank,star_regret,star_condorcet_winner_exists,star_is_condorcet_winner,star_has_cycle,star_cycle_type,schulze_winner,schulze_vse,schulze_winner_rank,schulze_regret,schulze_condorcet_winner_exists,schulze_is_condorcet_winner,schulze_has_cycle,schulze_cycle_type,config_experiment_id,config_created_at,config_n_profiles,config_n_voters,config_n_candidates,config_voting_rules,config_geometry_method,config_geometry_n_dim,config_geometry_phi,config_manipulation_enabled,config_manipulation_fraction,config_manipulation_strategy,config_utility_function,config_utility_distance_metric,config_utility_sigma_factor,config_rng_seed,config_epsilon,agg_n_profiles,agg_vse_mean,agg_vse_std,agg_vse_min,agg_vse_max,agg_vse_median,agg_utility_mean,agg_utility_std,agg_regret_mean,agg_regret_max,agg_winner_rank_1st_pct,agg_winner_rank_2nd_pct,agg_winner_rank_3rd_pct,agg_condorcet_winner_pct,agg_condorcet_efficiency,agg_cycle_percentage,agg_type1_percentage,agg_type2_percentage,compute_time_seconds,saved_at
10,3e02d790,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
11,3e02d790,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
12,3e02d790,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
13,3e02d790,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,1,0.0,2,0.029758432886928365,True,False,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
14,3e02d790,0,0.7865834722856213,1,0.02019392890187044,True,False,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
15,3e02d790,0,1.0,0,0.0,True,True,False,0,1,0.7433890317267043,1,0.03631612625402336,True,False,False,0,0,1.0,0,0.0,True,True,False,0,1,0.7433890317267043,1,0.03631612625402336,True,False,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
16,3e02d790,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
17,3e02d790,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
18,3e02d790,0,0.4372401604357496,1,0.02566176420509836,True,True,False,0,1,1.0,0,0.0,True,False,False,0,0,0.4372401604357496,1,0.02566176420509836,True,True,False,0,1,1.0,0,0.0,True,False,False,0,0,0.4372401604357496,1,0.02566176420509836,True,True,False,0,0,0.4372401604357496,1,0.02566176420509836,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
19,3e02d790,1,0.8155103434721519,1,0.021436038602061114,True,True,False,0,1,0.8155103434721519,1,0.021436038602061114,True,True,False,0,1,0.8155103434721519,1,0.021436038602061114,True,True,False,0,0,1.0,0,0.0,True,False,False,0,1,0.8155103434721519,1,0.021436038602061114,True,True,False,0,1,0.8155103434721519,1,0.021436038602061114,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
20,3e02d790,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,2,0.6386934715580467,1,0.0679824141859885,True,False,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
21,3e02d790,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
22,3e02d790,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
23,3e02d790,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
24,3e02d790,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,0,0.0,2,0.03000623712910533,True,False,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
25,3e02d790,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
26,3e02d790,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
27,3e02d790,2,1.0,0,0.0,True,True,False,0,0,0.5368678956072543,1,0.09334663597434001,True,False,False,0,2,1.0,0,0.0,True,True,False,0,0,0.5368678956072543,1,0.09334663597434001,True,False,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
28,3e02d790,0,0.9409234527914762,1,0.004241735450618567,True,False,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
29,3e02d790,2,0.17710535268508326,1,0.02787756819125775,True,False,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
30,3e02d790,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
31,3e02d790,1,0.0,2,0.05004050542476268,True,False,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
32,3e02d790,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,3e02d790,2025-12-30T18:25:34.426884,1000,25,3,"['plurality', 'borda', 'irv', 'approval', 'star', 'schulze']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,1000,0.8781416373655132,0.2780071872035541,0.0,1.0,1.0,0.7927368037813501,0.050774991226002035,0.009288221250582302,0.1274620332589188,75.1,18.8,6.1,98.6,78.49898580121703,1.4,0.6,0.8,1.2288905000023078,2025-12-30T18:25:36.057017
